age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,experience,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,marialstatus
41,0,rarely,1102,sales,1,2,life sciences,1,2,Female,94,3,2,sales executive,4,Single,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,single
49,0,frequently,279,research & development,8,1,life sciences,2,3,Male,61,2,2,research scientist,2,Married,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,married
33,0,frequently,1392,research & development,3,4,life sciences,5,4,Female,56,3,1,research scientist,3,Married,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,married
27,0,rarely,591,research & development,2,1,medical,7,1,Male,40,3,1,laboratory technician,2,Married,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,married
32,0,frequently,1005,research & development,2,2,life sciences,8,4,Male,79,3,1,laboratory technician,4,Single,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,single
59,0,rarely,1324,research & development,3,3,medical,10,3,Female,81,4,1,laboratory technician,1,Married,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,married
30,0,rarely,1358,research & development,24,1,life sciences,11,4,Male,67,3,1,laboratory technician,3,Divorced,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,divorced
38,0,frequently,216,research & development,23,3,life sciences,12,4,Male,44,2,3,manufacturing director,3,Single,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,single
36,0,rarely,1299,research & development,27,3,medical,13,3,Male,94,3,2,healthcare representative,3,Married,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,married
35,0,rarely,809,research & development,16,3,medical,14,1,Male,84,4,1,laboratory technician,2,Married,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,married
29,0,rarely,153,research & development,15,2,life sciences,15,4,Female,49,2,2,laboratory technician,3,Single,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,single
31,0,rarely,670,research & development,26,1,life sciences,16,1,Male,31,3,1,research scientist,3,Divorced,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,divorced
34,0,rarely,1346,research & development,19,2,medical,18,2,Male,93,3,1,laboratory technician,4,Divorced,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,divorced
28,0,rarely,103,research & development,24,3,life sciences,19,3,Male,50,2,1,laboratory technician,3,Single,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,single
29,0,rarely,1389,research & development,21,4,life sciences,20,2,Female,51,4,3,manufacturing director,1,Divorced,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,divorced
32,0,rarely,334,research & development,5,2,life sciences,21,1,Male,80,4,1,research scientist,2,Divorced,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,divorced
22,0,non,1123,research & development,16,2,medical,22,4,Male,96,4,1,laboratory technician,4,Divorced,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,divorced
53,0,rarely,1219,sales,2,4,life sciences,23,1,Female,78,2,4,manager,4,Married,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,married
38,0,rarely,371,research & development,2,3,life sciences,24,4,Male,45,3,1,research scientist,4,Single,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,single
36,0,rarely,1218,sales,9,4,life sciences,27,3,Male,82,2,1,sales representative,1,Single,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,single
34,0,rarely,419,research & development,7,4,life sciences,28,1,Female,53,3,3,research director,2,Single,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,single
21,0,rarely,391,research & development,15,2,life sciences,30,3,Male,96,3,1,research scientist,4,Single,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,single
34,0,rarely,699,research & development,6,1,medical,31,2,Male,83,3,1,research scientist,1,Single,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,single
32,0,frequently,1125,research & development,16,1,life sciences,33,2,Female,72,1,1,research scientist,1,Single,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,single
42,0,rarely,691,sales,8,4,marketing,35,3,Male,48,3,2,sales executive,2,Married,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,married
44,0,rarely,477,research & development,7,4,medical,36,1,Female,42,2,3,healthcare representative,4,Married,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,married
33,0,rarely,924,research & development,2,3,medical,39,3,Male,78,3,1,laboratory technician,4,Single,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,single
30,0,rarely,125,research & development,9,2,medical,41,4,Male,83,2,1,laboratory technician,3,Single,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,single
39,0,rarely,895,sales,5,3,technical degree,42,4,Male,56,3,2,sales representative,4,Married,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,married
24,0,rarely,813,research & development,1,3,medical,45,2,Male,61,3,1,research scientist,4,Married,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,married
43,0,rarely,1273,research & development,2,2,medical,46,4,Female,72,4,1,research scientist,3,Divorced,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,divorced
50,0,rarely,869,sales,3,2,marketing,47,1,Male,86,2,1,sales representative,3,Married,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,married
35,0,rarely,890,sales,2,3,marketing,49,4,Female,97,3,1,sales representative,4,Married,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,married
36,0,rarely,852,research & development,5,4,life sciences,51,2,Female,82,2,1,research scientist,1,Married,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,married
33,0,frequently,1141,sales,1,3,life sciences,52,3,Female,42,4,2,sales executive,1,Married,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,married
27,0,rarely,1240,research & development,2,4,life sciences,54,4,Female,33,3,1,laboratory technician,1,Divorced,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,divorced
26,0,rarely,1357,research & development,25,3,life sciences,55,1,Male,48,1,1,laboratory technician,3,Single,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,single
27,0,frequently,994,sales,8,3,life sciences,56,4,Male,37,3,3,sales executive,3,Single,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,single
30,0,frequently,721,research & development,1,2,medical,57,3,Female,58,3,2,laboratory technician,4,Single,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,single
34,0,non,1065,sales,23,4,marketing,60,2,Male,72,3,2,sales executive,3,Single,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,single
37,0,rarely,408,research & development,19,2,life sciences,61,2,Male,73,3,1,research scientist,2,Married,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,married
46,0,frequently,1211,sales,5,4,marketing,62,1,Male,98,3,2,sales executive,4,Single,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,single
35,0,rarely,1229,research & development,8,1,life sciences,63,4,Male,36,4,1,laboratory technician,4,Married,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,married
48,0,rarely,626,research & development,1,2,life sciences,64,1,Male,98,2,3,laboratory technician,3,Single,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,single
28,0,rarely,1434,research & development,5,4,technical degree,65,3,Male,50,3,1,laboratory technician,3,Single,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,single
44,0,rarely,1488,sales,1,5,marketing,68,2,Female,75,3,2,sales executive,1,Divorced,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,divorced
35,0,non,1097,research & development,11,2,medical,70,3,Male,79,2,3,healthcare representative,1,Married,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,married
26,0,rarely,1443,sales,23,3,marketing,72,3,Female,47,2,2,sales executive,4,Married,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,married
33,0,frequently,515,research & development,1,2,life sciences,73,1,Female,98,3,3,research director,4,Single,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,single
35,0,frequently,853,sales,18,5,life sciences,74,2,Male,71,3,3,sales executive,1,Married,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,married
35,0,rarely,1142,research & development,23,4,medical,75,3,Female,30,3,1,laboratory technician,1,Married,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,married
31,0,rarely,655,research & development,7,4,life sciences,76,4,Male,48,3,2,laboratory technician,4,Divorced,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,divorced
37,0,rarely,1115,research & development,1,4,life sciences,77,1,Male,51,2,2,manufacturing director,3,Divorced,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,divorced
32,0,rarely,427,research & development,1,3,medical,78,1,Male,33,3,2,manufacturing director,4,Married,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,married
38,0,frequently,653,research & development,29,5,life sciences,79,4,Female,50,3,2,laboratory technician,4,Single,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,single
59,0,rarely,1435,sales,25,3,life sciences,81,1,Female,99,3,3,sales executive,1,Single,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,single
36,0,rarely,1223,research & development,8,3,technical degree,83,3,Female,59,3,3,healthcare representative,3,Divorced,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,divorced
55,0,rarely,836,research & development,8,3,medical,84,4,Female,33,3,4,manager,3,Divorced,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,divorced
36,0,frequently,1195,research & development,11,3,life sciences,85,2,Male,95,2,2,manufacturing director,2,Single,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,single
45,0,rarely,1339,research & development,7,3,life sciences,86,2,Male,59,3,3,research scientist,1,Divorced,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,divorced
35,0,frequently,664,research & development,1,3,medical,88,2,Male,79,3,1,research scientist,1,Married,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,married
36,0,rarely,318,research & development,9,3,medical,90,4,Male,79,2,1,research scientist,3,Married,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,married
59,0,frequently,1225,sales,1,1,life sciences,91,1,Female,57,2,2,sales executive,3,Single,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,single
29,0,rarely,1328,research & development,2,3,life sciences,94,3,Male,76,3,1,research scientist,2,Married,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,married
31,0,rarely,1082,research & development,1,4,medical,95,3,Male,87,3,1,research scientist,2,Single,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,single
32,0,rarely,548,research & development,1,3,life sciences,96,2,Male,66,3,2,research scientist,2,Married,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,married
36,0,rarely,132,research & development,6,3,life sciences,97,2,Female,55,4,1,laboratory technician,4,Married,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,married
31,0,rarely,746,research & development,8,4,life sciences,98,3,Female,61,3,2,manufacturing director,4,Single,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,single
35,0,rarely,776,sales,1,4,marketing,100,3,Male,32,2,2,sales executive,1,Single,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,single
37,0,rarely,397,research & development,7,4,medical,102,1,Male,30,3,3,research director,3,Single,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,single
46,0,rarely,945,human resources,5,2,medical,103,2,Male,80,3,2,human resources,2,Divorced,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,divorced
30,0,rarely,852,research & development,1,1,life sciences,104,4,Male,55,2,2,laboratory technician,4,Married,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,married
35,0,rarely,1214,research & development,1,3,medical,105,2,Male,30,2,1,research scientist,3,Single,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,single
55,0,rarely,111,sales,1,2,life sciences,106,1,Male,70,3,3,sales executive,4,Married,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,married
38,0,non,573,research & development,6,3,medical,107,2,Female,79,1,2,research scientist,4,Divorced,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,divorced
34,0,rarely,1153,research & development,1,2,medical,110,1,Male,94,3,2,manufacturing director,2,Married,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,married
56,0,rarely,1400,research & development,7,3,life sciences,112,4,Male,49,1,3,manufacturing director,4,Single,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,single
