show id,type,title,director,country,release year,rating,duration,listed in,day,month,year
s1,movie,dick johnson is dead,kirsten johnson,united states,2020,PG-13,90 min,documentaries,25,9,2021
s3,tv show,ganglands,julien leclercq,france,2021,TV-MA,1 Season,crime tv shows international tv shows tv action & adventure,24,9,2021
s6,tv show,midnight mass,mike flanagan,united states,2021,TV-MA,1 Season,tv dramas tv horror tv mysteries,24,9,2021
s14,movie,confessions of an invisible girl,bruno garotti,brazil,2021,TV-PG,91 min,children & family movies comedies,22,9,2021
s9,tv show,the great british baking show,andy devonshire,united kingdom,2021,TV-14,9 Seasons,british tv shows reality tv,24,9,2021
s10,movie,the starling,theodore melfi,united states,2021,PG-13,104 min,comedies dramas,24,9,2021
s939,movie,motu patlu in the game of zones,suhas kadav,india,2019,TV-Y7,87 min,children & family movies comedies music & musicals,1,5,2021
s13,movie,je suis karl,christian schwochow,germany,2021,TV-MA,127 min,dramas international movies,23,9,2021
s940,movie,motu patlu in wonderland,suhas kadav,india,2013,TV-Y7,76 min,children & family movies music & musicals,1,5,2021
s941,movie,motu patlu deep sea adventure,suhas kadav,india,2014,TV-Y7,76 min,children & family movies comedies,1,5,2021
s942,movie,motu patlu mission moon,suhas kadav,india,2013,TV-Y7,71 min,children & family movies comedies,1,5,2021
s852,movie,99 songs (tamil),unknown,pakistan,2021,TV-14,131 min,dramas international movies music & musicals,21,5,2021
s471,movie,bridgerton  the afterparty,krysia plonka kristian mercado,united states,2021,TV-14,39 min,movies,13,7,2021
s730,movie,bling empire  the afterparty,krysia plonka kristian mercado,united states,2021,TV-MA,36 min,movies,12,6,2021
s731,movie,cobra kai  the afterparty,krysia plonka kristian mercado,united states,2021,TV-MA,34 min,movies,12,6,2021
s913,movie,the circle  the afterparty,krysia plonka kristian mercado,united states,2021,TV-14,35 min,comedies,7,5,2021
s4,tv show,jailbirds new orleans,unknown,pakistan,2021,TV-MA,1 Season,docuseries reality tv,24,9,2021
s15,tv show,crime stories india detectives,unknown,pakistan,2021,TV-MA,1 Season,british tv shows crime tv shows docuseries,22,9,2021
s3232,movie,true winter wishes,mark thornton todd kauffman,united states,2019,TV-Y,46 min,children & family movies,26,11,2019
s4832,tv show,true magical friends,mark thornton todd kauffman,united states,2018,TV-Y,1 Season,kids tv,15,6,2018
s4833,tv show,true wonderful wishes,mark thornton todd kauffman,united states,2018,TV-Y,1 Season,kids tv,15,6,2018
s4857,tv show,dance & sing with true,mark thornton todd kauffman,united states,2018,TV-Y,1 Season,kids tv,18,5,2018
s7,movie,my little pony a new generation,robert cullen josé luis ucha,unknown,2021,PG,91 min,children & family movies,24,9,2021
s12,tv show,bangkok breaking,kongkiat komesiri,unknown,2021,TV-MA,1 Season,crime tv shows international tv shows tv action & adventure,23,9,2021
