passengerid,survived,pclass,age,sibsp,parch,ticket,fare,cabin,sex nature,embarked S,embarked C,embarked Q
893,1,3,47.0,1,0,363272,7.0,B57 B59 B63 B66,0,1,0,0
894,0,2,62.0,0,0,240276,9.6875,B57 B59 B63 B66,1,0,0,1
895,0,3,27.0,0,0,315154,8.6625,B57 B59 B63 B66,1,1,0,0
896,1,3,22.0,1,1,3101298,12.2875,B57 B59 B63 B66,0,1,0,0
897,0,3,14.0,0,0,7538,9.225,B57 B59 B63 B66,1,1,0,0
898,1,3,30.0,0,0,330972,7.6292,B57 B59 B63 B66,0,0,0,1
899,0,2,26.0,1,1,248738,29.0,B57 B59 B63 B66,1,1,0,0
900,1,3,18.0,0,0,2657,7.2292,B57 B59 B63 B66,0,0,1,0
901,0,3,21.0,2,0,A/4 48871,24.15,B57 B59 B63 B66,1,1,0,0
903,0,1,46.0,0,0,694,26.0,B57 B59 B63 B66,1,1,0,0
904,1,1,23.0,1,0,21228,82.2667,B45,0,1,0,0
905,0,2,63.0,1,0,24065,26.0,B57 B59 B63 B66,1,1,0,0
906,1,1,47.0,1,0,W.E.P. 5734,61.175,E31,0,1,0,0
907,1,2,24.0,1,0,SC/PARIS 2167,27.7208,B57 B59 B63 B66,0,0,1,0
908,0,2,35.0,0,0,233734,12.35,B57 B59 B63 B66,1,0,0,1
909,0,3,21.0,0,0,2692,7.225,B57 B59 B63 B66,1,0,1,0
910,1,3,27.0,1,0,STON/O2. 3101270,7.925,B57 B59 B63 B66,0,1,0,0
911,1,3,45.0,0,0,2696,7.225,B57 B59 B63 B66,0,0,1,0
912,0,1,55.0,1,0,PC 17603,59.4,B57 B59 B63 B66,1,0,1,0
913,0,3,9.0,0,1,C 17368,3.1708,B57 B59 B63 B66,1,1,0,0
915,0,1,21.0,0,1,PC 17597,61.3792,B57 B59 B63 B66,1,0,1,0
916,1,1,48.0,1,3,PC 17608,262.375,B57 B59 B63 B66,0,0,1,0
917,0,3,50.0,1,0,A/5. 3337,14.5,B57 B59 B63 B66,1,1,0,0
918,1,1,22.0,0,1,113509,61.9792,B36,0,0,1,0
920,0,1,41.0,0,0,113054,30.5,A21,1,1,0,0
922,0,2,50.0,1,0,SC/AH 3085,26.0,B57 B59 B63 B66,1,1,0,0
923,0,2,24.0,2,0,C.A. 31029,31.5,B57 B59 B63 B66,1,1,0,0
924,1,3,33.0,1,2,C.A. 2315,20.575,B57 B59 B63 B66,0,1,0,0
926,0,1,30.0,1,0,13236,57.75,C78,1,0,1,0
929,1,3,21.0,0,0,315087,8.6625,B57 B59 B63 B66,0,1,0,0
930,0,3,25.0,0,0,345768,9.5,B57 B59 B63 B66,1,1,0,0
932,0,3,39.0,0,1,349256,13.4167,B57 B59 B63 B66,1,0,1,0
934,0,3,41.0,0,0,SOTON/O.Q. 3101263,7.85,B57 B59 B63 B66,1,1,0,0
935,1,2,30.0,0,0,237249,13.0,B57 B59 B63 B66,0,1,0,0
936,1,1,45.0,1,0,11753,52.5542,D19,0,1,0,0
937,0,3,25.0,0,0,STON/O 2. 3101291,7.925,B57 B59 B63 B66,1,1,0,0
938,0,1,45.0,0,0,PC 17594,29.7,A9,1,0,1,0
940,1,1,60.0,0,0,11813,76.2917,D15,0,0,1,0
941,1,3,36.0,0,2,C.A. 37671,15.9,B57 B59 B63 B66,0,1,0,0
942,0,1,24.0,1,0,13695,60.0,C31,1,1,0,0
943,0,2,27.0,0,0,SC/PARIS 2168,15.0333,B57 B59 B63 B66,1,0,1,0
944,1,2,20.0,2,1,29105,23.0,B57 B59 B63 B66,0,1,0,0
945,1,1,28.0,3,2,19950,263.0,C23 C25 C27,0,1,0,0
947,0,3,10.0,4,1,382652,29.125,B57 B59 B63 B66,1,0,0,1
948,0,3,35.0,0,0,349230,7.8958,B57 B59 B63 B66,1,1,0,0
949,0,3,25.0,0,0,348122,7.65,F G63,1,1,0,0
951,1,1,36.0,0,0,PC 17608,262.375,B61,0,0,1,0
952,0,3,17.0,0,0,349232,7.8958,B57 B59 B63 B66,1,1,0,0
953,0,2,32.0,0,0,237216,13.5,B57 B59 B63 B66,1,1,0,0
954,0,3,18.0,0,0,347090,7.75,B57 B59 B63 B66,1,1,0,0
955,1,3,22.0,0,0,334914,7.725,B57 B59 B63 B66,0,0,0,1
956,0,1,13.0,2,2,PC 17608,262.375,B57 B59 B63 B66,1,0,1,0
958,1,3,18.0,0,0,330963,7.8792,B57 B59 B63 B66,0,0,0,1
959,0,1,47.0,0,0,113796,42.4,B57 B59 B63 B66,1,1,0,0
960,0,1,31.0,0,0,2543,28.5375,C53,1,0,1,0
961,1,1,60.0,1,4,19950,263.0,C23 C25 C27,0,1,0,0
962,1,3,24.0,0,0,382653,7.75,B57 B59 B63 B66,0,0,0,1
963,0,3,21.0,0,0,349211,7.8958,B57 B59 B63 B66,1,1,0,0
964,1,3,29.0,0,0,3101297,7.925,B57 B59 B63 B66,0,1,0,0
966,1,1,35.0,0,0,113503,211.5,C130,0,0,1,0
969,1,1,55.0,2,0,11770,25.7,C101,0,1,0,0
970,0,2,30.0,0,0,248744,13.0,B57 B59 B63 B66,1,1,0,0
971,1,3,24.0,0,0,368702,7.75,B57 B59 B63 B66,0,0,0,1
972,0,3,6.0,1,1,2678,15.2458,B57 B59 B63 B66,1,0,1,0
973,0,1,67.0,1,0,PC 17483,221.7792,C55 C57,1,1,0,0
974,0,1,49.0,0,0,19924,26.0,B57 B59 B63 B66,1,1,0,0
978,1,3,27.0,0,0,330844,7.8792,B57 B59 B63 B66,0,0,0,1
979,1,3,18.0,0,0,A/4 31416,8.05,B57 B59 B63 B66,0,1,0,0
981,0,2,2.0,1,1,29103,23.0,B57 B59 B63 B66,1,1,0,0
982,1,3,22.0,1,0,347072,13.9,B57 B59 B63 B66,0,1,0,0
984,1,1,27.0,1,2,F.C. 12750,52.0,B71,0,1,0,0
986,0,1,25.0,0,0,13905,26.0,B57 B59 B63 B66,1,0,1,0
