brandname,details,sizes,mrp,sellprice,discount%,category women
life,solid cotton blend collar neck womens aline dress  indigo,LargeMediumSmallX-LargeX-Small,1699,849,50,Westernwear
only,polyester peter pan collar womens blouson dress  yellow,34363840,3499,2449,30,Westernwear
fratini,solid polyester blend wide neck womens regular top  off white,LargeX-LargeXX-Large,1199,599,50,Westernwear
zink london,stripes polyester sweetheart neck womens dress  black,LargeMediumSmallX-Large,2299,1379,40,Westernwear
life,regular fit regular length denim womens jeans  stone,262830323436,1699,849,50,Westernwear
kraus,wide ankle length cotton womens jeans  light blue,2628303234,1795,1615,10,Westernwear
life,printed cotton blend collared womens regular dress  white,LargeMediumSmallX-LargeX-Small,1299,649,50,Westernwear
fratini,embroidered wide neck polyester womens regular top  blush,XX-Large,1299,649,50,Westernwear
rare,floral polyester v neck womens flared dress  navy,LargeMediumSmallX-Large,2099,839,60,Westernwear
rare,checks cotton boat neck womens regular top  black,MediumSmallX-Large,1499,599,60,Westernwear
life,solid square neck cotton womens regular dress  pink,LargeMediumSmallX-LargeX-Small,1499,749,50,Westernwear
life,regular fit regular length denim womens jeans  indigo,262830323436,999,499,50,Westernwear
life,printed blended round neck womens shift dress  orange,LargeMediumSmallX-LargeX-Small,1499,749,50,Westernwear
life,printed jersey round neck womens tshirt  black,LargeMediumSmallX-LargeX-Small,599,299,50,Westernwear
life,printed crepe square neck womens top  blue,LargeMediumSmallX-LargeX-Small,999,499,50,Westernwear
life,solid cotton collar neck womens shirt  pink,LargeMediumSmallX-LargeX-Small,1199,599,50,Westernwear
life,solid cotton lycra round neck womens tshirt  white,LargeMediumSmallX-Small,599,299,50,Westernwear
life,printed cotton collar neck womens shirt  white,LargeMediumSmallX-LargeX-Small,1299,649,50,Westernwear
van heusen,solid cotton v neck womens formal shirt  maroon,LargeSmallX-Small,1999,799,60,Westernwear
life,regular fit regular length denim womens jeans  mid stone,262830323436,1999,999,50,Westernwear
fratini,solid round neck viscose womens regular dress  olive,LargeMediumSmallX-LargeXX-Large,1499,749,50,Westernwear
life,solid wide neck viscose womens regular top  blue,LargeMediumSmallX-LargeX-Small,1299,649,50,Westernwear
stop,printed regular neck cotton womens formal shirt  ecru,LargeMediumSmallX-LargeXX-Large,799,399,50,Westernwear
zink london,floral viscose sweetheart neck womens dress  green,MediumSmallX-SmallXX-Large,2799,1679,40,Westernwear
life,printed viscose v neck womens regular woven top  off white,LargeMediumSmallX-LargeX-Small,1199,599,50,Westernwear
life,printed cotton blend v neck womens top  pink,LargeMediumSmallX-LargeX-Small,999,499,50,Westernwear
stop,printed regular neck cotton womens formal shirt  black,LargeMediumSmallX-LargeXX-Large,899,449,50,Westernwear
life,printed cotton blend round neck womens tshirt  white,LargeMediumSmallX-LargeX-Small,999,499,50,Westernwear
life,embroidered viscose square neck womens regular top  white,LargeMediumSmallX-LargeX-Small,1199,599,50,Westernwear
life,regular fit regular length denim womens jeans  indigo,262830323436Medium,1699,849,50,Westernwear
life,printed cotton lycra round neck womens tshirt  pink mix,LargeMediumSmallX-LargeX-Small,699,349,50,Westernwear
cover story,solid round neck cotton womens regular dress  dark brown,LargeMediumSmallX-LargeX-Small,2890,1445,50,Westernwear
infuse,printed square neck rayon womens dress  pink,LargeMediumSmallX-LargeX-Small,1999,999,50,Westernwear
allen solly,solid rayon regular fit womens trousers  black,262830323436,1299,1039,20,Westernwear
infuse,regular fit regular length cotton womens loungewear short set  pink,LargeMediumSmallX-Small,899,359,60,Westernwear
van heusen,solid polyester collar neck womens shirt  black,LargeMediumSmallX-LargeX-Small,1699,999,41,Westernwear
life,solid viscose round neck womens regular top  sage,LargeMediumSmallX-LargeX-Small,999,499,50,Westernwear
life,printed collar neck polyester womens regular top  navy,LargeMediumSmallX-LargeX-Small,999,499,50,Westernwear
zink london,lace polyester round neck womens dress  green,LargeMediumSmallX-Large,3299,1979,40,Westernwear
stop,solid viscose vneck womens regular top  mustard,LargeMediumSmallXX-Large,999,499,50,Westernwear
fratini,printed vneck polyester womens regular dress  natural,LargeMediumSmallX-LargeXX-Large,1899,949,50,Westernwear
rare,floral polyester off shoulder womens flared dress  black,LargeMediumSmallX-Large,1899,854,55,Westernwear
life,printed viscose wide neck womens regular dress  pink,LargeMediumSmallX-LargeX-Small,1299,649,50,Westernwear
altlife,printed skinny fit cotton blend womens active wear track pants  grey,2830323436,999,499,50,Westernwear
stop,printed regular neck cotton womens formal shirt  blue denim,MediumSmallX-SmallXX-Large,899,449,50,Westernwear
life,regular fit regular length denim womens jeans  olive,262830323436,1999,999,50,Westernwear
rare,solid polyester round neck womens aline dress  navy,LargeMediumSmallX-Large,1499,674,55,Westernwear
zink london,solid polyester v neck womens top  yellow,LargeMediumSmallX-LargeX-SmallXX-Large,1399,839,40,Westernwear
life,printed cotton blend collar neck womens tshirt  red,LargeMediumSmallX-LargeX-Small,999,499,50,Westernwear
madame,printed polyester blend square neck womens dress  green,LargeMediumSmallX-LargeXX-Large,2699,1619,40,Westernwear
zink london,solid polyester scoop neck womens bodycon dress  baby pink,LargeMediumSmallX-LargeX-SmallXX-Large,2499,1499,40,Westernwear
